rank	citation	target_id	openai_score_raw	promptv2_score_raw
1	[12]	ref_hassediagramgeneratorsandpetrinets_2010	0.024294110867811504	0.007647023568110575
2	[23]	ref_efficientdiscoveryofapproximatedependencies_2018	0.022067150704928734	0.001959520200447936
3	[21]	ref_approximateinferenceoffunctionaldependenciesfromrelations_1995	0.017086857977027383	0.001554725463486391
4	[2]	ref_anytimemeasuresfortopkalgorithmsonexactandfuzzydatasets_2009	0.01594301025700126	0.0009557732066141765
5	[45]	ref_atheoreticalanalysisofndcgtyperankingmeasures_2013	0.013969113748991582	0.0029783769346040123
6	[25]	ref_thelatticebasedapproachesforminingassociationrulesareview_2016	0.012147055433905724	0.01035977401892641
7	[20]	ref_samplinglatticepoints_1997	0.012147055433905724	0.0020209990858577956
8	[15]	ref_computersandintractability_2002	0.012147055433905724	0.0015995539265346212
9	[16]	ref_approximateintegersolutioncountsoverlineararithmeticconstraints_2024	0.012147055433905724	0.00016386479074522668
10	[44]	ref_mixedintegerlinearprogrammingformulationtechniques_2015	0.009110291575429292	0.0024163597356144802
11	[41]	ref_theoryoflinearandintegerprogramming_1998	0.009110291575429292	0.0006040899339036202
12	[40]	ref_convergenceoftheiterativeproportionalfittingprocedure_1995	0.00789558603203872	0.00016352962466636137
13	[18]	ref_taneanefficientalgorithmfordiscoveringfunctionalandapproximatedependencies_1999	0.00789558603203872	0.0001373866705148698
14	[22]	ref_onapproximatingoptimumrepairsforfunctionaldependencyviolations_2009	0.007217375436978984	0.0003043988802194408
15	[9]	ref_anintroductiontoinformationretrieval_2013	0.004858822173562289	2.614295415149158e-05
16	[7]	ref_renuveramissingvalueimputationalgorithmbasedonrelaxedfunctionaldependencies_2022	0.004180611578502553	0.00033869534124463267
17	[19]	ref_kaggle_2024	0.004049018477968574	0.0013908051608593525
18	[32]	ref_ahybridapproachtofunctionaldependencydiscovery_2016	0.004049018477968574	0.0009150033953022054
19	[43]	ref_2012_1922	0.0037959548230955386	0.00020456913993241986
20	[47]	ref_1996_2025	0.0037959548230955386	0.00012274148395945194
21	[17]	ref_gurobioptimizerreferencemanual_2024	0.0037959548230955386	9.207776355798149e-06
22	[4]	ref_dynamicprogramming_1966	0.0037959548230955386	2.3019440889495377e-06
23	[6]	ref_discoveringfunctionaldependenciesthroughhittingsetenumeration_2024	0.0030974991356459594	0.010683418763830691
24	[38]	ref_patternfunctionaldependenciesfordatacleaning_2020	0.0030974991356459594	0.008012564072873018
25	[42]	ref_databasesystemconceptsseventhedition_2020	0.0030974991356459594	0.005341709381915347
26	[31]	ref_functionaldependencydiscoveryanexperimentalevaluationofsevenalgorithms_2015	0.0030974991356459594	0.0026708546909576733
27	[10]	ref_discoveringdenialconstraints_2013	0.0030974991356459594	0.0
28	[14]	ref_databasedependencydiscoveryamachinelearningapproach_1999	0.0030974991356459594	0.0
29	[27]	ref_approximatedenialconstraints_2020	0.0030974991356459594	0.0
30	[34]	ref_measuringapproximatefunctionaldependenciesacomparativestudy_2024	0.0030974991356459594	0.0
31	[35]	ref_bfastdcabitwisealgorithmforminingdenialconstraints_2018	0.0030974991356459594	0.0
32	[36]	ref_discoveryofapproximateandexactdenialconstraints_2019	0.0030974991356459594	0.0
33	[37]	ref_fastalgorithmsfordenialconstraintdiscovery_2022	0.0030974991356459594	0.0
34	[8]	ref_maliciousaccountidentificationinsocialnetworkplatforms_2023	0.0030974991356459594	0.0
35	[26]	ref_evaluatingclassificationfeasibilityusingfunctionaldependencies_2020	0.0010831124428565936	0.002032172047467795
36	[28]	ref_discoveringreliableapproximatefunctionaldependencies_2017	0.0010831124428565936	0.0014316282071096657
37	[30]	ref_miningapproximatefunctionaldependenciesandconceptsimilaritiestoanswerimprecisequeries_2004	0.0010831124428565936	0.0010160860237338977
38	[29]	ref_theclioprojectmanagingheterogeneity_2001	0.0010831124428565936	0.0008310843667515354
39	[5]	ref_samplingtherepairsoffunctionaldependencyviolationsunderhardconstraints_2010	0.0010831124428565936	0.00060054384035813
40	[33]	ref_datadrivenschemanormalization_2017	0.0010831124428565936	0.0004155421833757677
41	[13]	ref_theopennessofdataplatformsaresearchagenda_2022	0.0010831124428565936	0.00033869534124463267
42	[11]	ref_unbiasedestimationofsizeandotheraggregatesoverhiddenwebdatabases_2010	0.0010831124428565936	0.0
43	[3]	ref_discoveringtheskylineofwebdatabases_2016	0.0010831124428565936	0.0
44	[46]	ref_explorationofdeepwebrepositories_2011	0.0010831124428565936	0.0
45	[39]	ref_anincrementalalgorithmforageneralizationoftheshortestpathproblem_1996	0.0	0.014401667451242352
46	[1]	ref_onlinealgorithmsasurvey_2003	0.0	0.0069738061890511245
